date,state,parlimen,dun,sex,age,ethnicity,population
1/1/2020,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,16.419
1/1/2020,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,citizen,16.261
1/1/2020,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,noncitizen,0.158
1/1/2020,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.337
1/1/2020,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.082
1/1/2021,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,16.6
1/1/2021,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,citizen,16.4
1/1/2021,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,noncitizen,0.2
1/1/2021,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.4
1/1/2021,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.2
1/1/2022,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,16.7
1/1/2022,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,citizen,16.5
1/1/2022,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,noncitizen,0.2
1/1/2022,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.5
1/1/2022,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.2
1/1/2020,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,19.88
1/1/2020,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,citizen,19.225
1/1/2020,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,noncitizen,0.655
1/1/2020,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,9.881
1/1/2020,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,9.999
1/1/2021,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,20.1
1/1/2021,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,citizen,19.3
1/1/2021,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,noncitizen,0.7
1/1/2021,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,10
1/1/2021,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,10.1
1/1/2022,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,20.2
1/1/2022,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,citizen,19.4
1/1/2022,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,noncitizen,0.8
1/1/2022,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,10.1
1/1/2022,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,10.2
1/1/2020,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.132
1/1/2020,Perlis,P.002 Kangar,N.10 Kayang,both,overall,citizen,15.919
1/1/2020,Perlis,P.002 Kangar,N.10 Kayang,both,overall,noncitizen,0.213
1/1/2020,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.159
1/1/2020,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,7.973
1/1/2021,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.3
1/1/2021,Perlis,P.002 Kangar,N.10 Kayang,both,overall,citizen,16
1/1/2021,Perlis,P.002 Kangar,N.10 Kayang,both,overall,noncitizen,0.2
1/1/2021,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.2
1/1/2021,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,8
1/1/2022,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.4
1/1/2022,Perlis,P.002 Kangar,N.10 Kayang,both,overall,citizen,16.2
1/1/2022,Perlis,P.002 Kangar,N.10 Kayang,both,overall,noncitizen,0.3
1/1/2022,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.3
1/1/2022,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,8.1
